tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1852037853259198720',"Accompanying the students was Dr. Collins Gaunya (lecturer at the University), who coordinated the visit. Dr. Gaunya thanked the Directorate for hosting the group comprising 142 students, noting that the collaborative spirit fostered by the visit highlighted the significance of partnerships between educational institutions and professional bodies in cultivating the next generation of experts in criminology.",en,Reply,0,21,4,8,12357,2024-10-31 19:20:08,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/GbPCmKxXYAArRUs.jpg,https://pbs.twimg.com/media/GbPCms6WkAALfUn.jpg,https://pbs.twimg.com/media/GbPCnADWMAAEY-5.jpg,https://pbs.twimg.com/media/GbPCnIrW4AAzp_y.jpg"
'1852038095354409222',This visit to the National Forensic Laboratory exemplifies the essential connection between academia and real-world practice. The insights gained today will undoubtedly inspire these future criminologists and security experts as they continue their studies and embark on careers dedicated to enhancing public safety and justice.,en,Reply,0,19,2,6,10204,2024-10-31 19:21:05,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/GbPC1QEXsAAN8rz.jpg
'1852015727936471447',"UPDATES: WILLIS AYIEKO'S MURDER PROBE

Runaway suspect in the monstrous homicide of Wells Fargo HR Manager Mr Willis Ayieko has today been neutralized in a security operation, and a second firearm recovered from him.

The suspect identified as George Oduor Okoth was ambushed by police in his hideout at Mulberry Guest Hse opposite Kisumu National Polytechnic, who clung on to his Smith and Walter pistol in readiness for a gun battle.

Oduor Okoth, who had earlier escaped police dragnet leaving behind a rolling vehicle and a seriously injured female passenger (who died later), was fatally injured in an effort to subdue him. The firearm with three live rounds among other items was recovered from him.

With his body being preserved at JOOTRH mortuary, the recovered items have been secured for forensic analysis.",en,Tweet,19,238,50,172,194116,2024-10-31 17:52:12,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1851983460769857541',"LIBERTY, A SLIPPERY FLOOR FOR JAILBIRD IN NAROK MURDERS

Stephen Oloichoki alias Musa Sopia, the prime suspect in a series of violent robberies and murders within Narok township has been arrested, again, following months of scrupulous manhunt by Narok-based detectives.

The suspect, who is a jailbird and has been in prison confines for 15 years until his release on March 2024, was cornered and arrested while in possession of his weapons of choice; a dagger, a sword and a Maasai rungu.

In the incidents that rocked the area days following his release, a hooded lone thug was reported to be accosting business operators in the town, before striking them down with a blunt object and disappearing with their valuables. Sadly, most victims succumbed to the head hits.

But by the stroke of luck, one of the suspect's criminal activities was captured by a CCTV camera as he attempted to break into a shop. He aborted the mission on spotting the cameras, but not without blessing his night with several crates of bread delivered to the next shop. The footage was circulated among security agents.

On Monday, October 28 at around midnight, a report was made that a person had been struck dead at Ololulunga area in Narok South. Coincidentally, it was at the same location where the cctv footage had been obtained.

A security operation was swiftly launched which saw Oloichoki arrested. He was in the same clothes worn in the cctv footage.  (His race was no longer amazing).

The suspect has since confessed to several attacks and showed investigators places where he sold the valuables stolen from his victims, leading to the arrest of three more suspects namely; Timothy Manyara, Samuel Kibutu Ngongo and John Ndung'u Wanjiru.

It has also been established that Oloichoki had been handed a life sentence for a violent robbery by the Narok court in 2009, only to be released 15 years later in March this year after an appeal. Even so, his previous life in crime quickly caught up with him.

Under investigations are six deaths in which Oloichoki is implicated, all committed between April and October, 2024. Appropriate charges including robbery with violence have been preferred against him at Narok Law Courts.",en,Tweet,10,142,25,81,38707,2024-10-31 15:43:59,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/GbORGr0XgAAcMr2.jpg,https://pbs.twimg.com/media/GbORG_0WUAEZgbM.jpg,https://pbs.twimg.com/media/GbORHZLWUAAojr5.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1851983413613305856/pu/img/jHtYVLNnzXHsqnHX.jpg"
'1851702537675767862',"RT @NPSOfficial_KE: DIG ELIUD LAGAT UPDATE THE PUBLIC ON INVESTIGATION INTO MURDER CASES

Deputy Inspector General Kenya Police Service, Mr. Eliud Lagat has  reiterated that NPS recognizes the importance of swiftly resolving  murder cases against women, https://t.co/A4dOQhJjEL",en,Retweet,4,166,27,65,27252,2024-10-30 21:07:42,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/GbKRoqlXsAIjK_s.jpg
'1851716670496161927',"UPDATES: FIREARM OF SLAIN WELLS FARGO HR MANAGER RECOVERED

Police in Siaya, Gem Wagai sub-county, today recovered a pistol belonging to the late Wells Fargo Human Resource Manager, Mr. Willis Ayieko. This firearm had been robbed from him on the night he was murdered.

The recovery was made following a tip-off from members of the public, reporting that two individuals—one male and one female—were seen with a gun in a Toyota Axio, registration number KDN 948B, at Wagai Trading Centre.

Responding, officers from Wagai Police Station flagged down the suspect’s vehicle, but the male driver defied the orders and instead opened fire on the police while speeding off towards Luanda.

This prompted a hot chase that ended at Adder Farm within Kagilo area, where the vehicle lost control and rolled over on the left side of the road. 
Unfortunately, the driver managed to escape, leaving behind the female passenger, who was injured and unconscious. 

Upon searching the vehicle, police recovered a pistol loaded with 11 rounds of ammunition, which was identified as the firearm robbed from Mr Ayieko.

The woman was taken to a hospital in Yala, but sadly, she succumbed to her injuries hours later.
 
Meanwhile, a heightened pursuit of the fleeing suspect led Gem Yala detectives to his rented house at Sagam Trading Centre within Kanyibwop village, where the following items were found and confiscated;
- Jungle green sweater & military pair of shorts
- two pairs of desert storm jungle boots
- two TV sets (40"" and 32"")
- HP laptop
- Rolex watch among others.

A woman found in the house was also arrested.

Investigations into the murder are ongoing. Detectives are meticulously examining all evidence, and forensic teams are conducting thorough analyses to uncover new leads.",en,Tweet,80,707,140,474,287980,2024-10-30 22:03:52,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/GbKefE-XcAAw8VL.jpg,https://pbs.twimg.com/media/GbKefLCWIAAV7QM.jpg,https://pbs.twimg.com/media/GbKefE9WwAA9kSz.jpg,https://pbs.twimg.com/media/GbKefE7WsAAK76N.jpg"
'1851613081450737760',"UPDATES: KIBUYE MARKET MURDERS

Samuel Otieno Odak, a suspect in the July 1 killing of two men, Evans Opiyo and Mohammed Saleh, over control of proceeds from five toilets in Kisumu's Kibuye Market has been arrested.

Otieno, 21, was arrested following a tip-off from members of",en,Tweet,7,135,19,98,53931,2024-10-30 15:12:14,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1851613085984801098',"the public who sighted him at his hideout at Awach River within Seme.

He joins his accomplice Oliver Ochieng Jaoko who was arrested for the murder on August 8, a case that is being handled by Kondele detectives.",en,Reply,2,19,3,3,14285,2024-10-30 15:12:15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1851613534720774644',"Samuel Otieno Odak, 21. https://t.co/Veauy65DPQ",es,Reply,0,40,4,9,14186,2024-10-30 15:14:02,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/GbJAskfWEAE4YBu.jpg
'1851563877718237430',"SLEUTHS IN PURSUIT OF SUSPECT IN EX-WIFE & COLLEAGUE ATTACKS

Starehe Sub-County detectives are hunting down a murder suspect who yesterday stabbed his colleague to death at Valley Bridge area of Kiamaiko in Huruma, Nairobi. The suspect, George Kuria Kanyigi, is reported to have disappeared after the afternoon fatal attack on his associate John Olando Ambwaya, 29.

In the unfortunate incident that happened at Valley Bridge Carwash, the suspect is alleged to have had an altercation with his ex-wife, whereby he used a stone to hit her on the head, knocking her out.

In an attempt to calm the situation, Olando intervened, only for the suspect to brandish a dagger which he drew through Olando's neck. As Olando painfully slid to his death, the suspect vanished with the murder weapon.

Olando's death was confirmed at Huruma Nursing Hospital where good Samaritans had rushed him.

The case was reported at Huruma Police Station and taken over by DCI Starehe, who are piecing up crucial leads to the suspect.",en,Tweet,7,155,23,55,43029,2024-10-30 11:56:43,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1851558792120373454',FAKE NEWS ALERT! https://t.co/nkKkhyIwE2,en,Tweet,3,154,23,147,54048,2024-10-30 11:36:30,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/GbIO6IjXgAAZAtg.jpg
'1851120479987179878',"UPDATES: WILLIS AYIEKO'S MURDER PROBE

One suspect linked to the gruesome murder of the late Mr Willis Onyango Ayieko, former Human Resource Manager at Wells Fargo, has been arrested.

The suspect identified as Victor Ouma Okoth was flushed out of his hideout in Nairobi's Dandora Phase IV last night, where he had rented a house using proceeds of the heinous crime.

The suspect (being held at Muthaiga Police Station) was placed at the scene of crime through forensic analysis, in the forensic-led investigation being conducted by a joint team of DCI's Homicide, CRIB and Operations detectives.

The investigation is ongoing with the team analyzing crucial leads to uncover and arrest other accomplices.

#FichuakwaDCI. Call our toll-free hotline 0800 722 203 to report anonymously. Usiogope!",en,Tweet,31,531,123,209,131624,2024-10-29 06:34:49,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1850923693221790199',"BUILDING CAPACITY TO BOOST FIGHT AGAINST NARCOTICS

The Director Training at DCI Mr. Edwin Kamau earlier today officiated the opening of Basic Counter Drug Investigations Course for DCI officers at the Nairobi Safari Club. The course focuses on enhancing knowledge on the current issues in narcotics enforcement and investigative strategies applicable to drug investigation, including analytical techniques, use of informants, undercover operations and consensual encounters.

""The emergence of new synthetic drugs has further complicated this issue, with traffickers continuously adapting their tactics to circumvent our security measures,"" noted Mr. Kamau in his address to the course participants.

He, therefore, urged them to take advantage of the one week period allocated for the training, to boost their investigative capacities with a view to stay ahead of the bad guys.

The head of training further lauded the United Nations Office on Drugs and Crime (UNODC) through the Global Maritime Crime Programme, for its commitment in equipping anti-narcotic investigators with competent skills and knowledge pivotal in the fight against drugs.",en,Tweet,2,76,9,27,22586,2024-10-28 17:32:51,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/Ga_NNV5WQAAMjbj.jpg,https://pbs.twimg.com/media/Ga_NOveW8AA9ACL.jpg,https://pbs.twimg.com/media/Ga_NRj3WMAAat4x.jpg,https://pbs.twimg.com/media/Ga_NSc1WAAA_1f7.jpg"
'1850915122111447524',"REGIONAL CYBERCRIME TRAINING KICKS OFF AT NCIA

Today has marked a notable milestone in the fight against cybercrime with the reception of 29 detectives drawn from five countries; Kenya, Uganda, Tanzania, Rwanda and Seychelles at the National Criminal Investigations Academy. The detectives will undergo intensive training offered by experts in the cyber space.

The one-week course has been jointly organized and financed by BKA which is Germany’s Central Criminal Investigation Agency and GIZ, who remain steadfast partners in DCI’s fight against crime. The course comes in the wake of a surge in cases of Gender-Based Violence cybercrimes, with the detectives eager to sharpen their claws on the vice. 

In his speech read by the Commandant NCIA Mr. Sospeter Munyi, the Director DCI Mr. Mohamed I. Amin reminded the participants that their dedication and expertise were pivotal in upholding justice for SGBV victims, adding that the training represented a significant step towards improved investigations and ultimately, greater justice for victims.

On his part, the Commandant NCIA encouraged the participants to network and interact as much as possible, with a focus on sharing knowledge and best practices.

Also present in the ceremony was the Police Liaison Officer for the region based in the Embassy of the Federal Republic of Germany Mr. Jan Prayon, GIZ Kenya Representative Mr. Jaenen Ulrich, NCIA Chief Instructor Mr. Jimmy Kisobo among other senior NPS officers.",en,Tweet,4,64,7,23,22164,2024-10-28 16:58:48,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,"https://pbs.twimg.com/media/Ga_FfVZWIAAWoE-.jpg,https://pbs.twimg.com/media/Ga_FffeW8AA9_fO.jpg,https://pbs.twimg.com/media/Ga_FfaXXYAAUaAU.jpg,https://pbs.twimg.com/media/Ga_FfZBXIAAMpqu.jpg"
'1850825466485023064',"WANTED SUSPECT: COLLINS JUMAISI KHALUSHA.

If you have any information regarding Collins Jumaisi Khalusha's whereabouts, we encourage you to share it confidentially through the anonymous #FichuaKwaDCI hotline at 0800722203 or reach out to the police through the hotlines 999, 911, and 112.

 Additionally, you are welcome to visit any police station within the country. Your support could greatly impact the re-arrest of this wanted suspect.

 Every piece of information is valuable.",en,Tweet,62,1457,293,1878,450937,2024-10-28 11:02:32,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#FichuaKwaDCI,,photo,https://pbs.twimg.com/media/Ga9z88WWUAAOrRi.jpg
'1850424044027580524',"APPEAL FOR INFORMATION

Homicide detectives who are pursuing the gruesome murders of three family members - a mother, daughter and 12-year-old niece - have identified the prime suspect in the monstrous killings, Hashim Dagane Muhumed whose photo appears on this post.

Investigations conducted so far have established that Hashim Dagane, 24, was driving the Nissan Note (Reg No. KDQ 718Y) car captured on cctv cameras picking the victims from their Eastleigh home on October 21, 2024, hours before their bodies were discovered scattered at various locations.

The vehicle was also found abandoned at Wakulima Market near ENA Coach stage and towed to DCI Headquarters for forensic examination, further linking Hashim Dagane to the killings.

With one suspect in custody and assisting in the investigation, we appeal to anyone who may have information that could assist in the arrest of Hashim Dagane Muhumed to #FichuakwaDCI by calling our toll-free hotline 0800 722 203 or report at any police station.",en,Tweet,153,1569,536,573,842265,2024-10-27 08:27:25,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/Ga4G3HkWkAAz922.jpg
'1849898277191209126',"FICHUA KWA DCI

A team of detectives drawn from the Counter Violent Extremism Directorate and Liason and Corporate Communications Directorate has completed a one day campaign for the #FichuakwaDCI hotline number 0800 722 203 within Isiolo and Marsabit Counties.

The team has also distributed 200 branded jackets among bodaboda operators in the said counties which is geared towards promoting sharing of information on crime & criminals in an endeavour to realize a safer, secure & crime-free nation.

The 200 Fichua Kwa DCI branded reflector jackets are part of a consignement of 1,800 units that were donated to the DCI by the US Embassy in Nairobi.

The DCI Hotline Center was officially opened on 10th December, 2020 by Mr James Duddridge, the Minister for Africa at the Foreign, Commonwealth and Development Office (FCDO), UK.

The call center is manned by a team of vetted multilingual officers, who receive and analyze information from anonymous callers before forwarding the same to the responsible units for action.

#FichuakwaDCI any time 24/7 at zero cost. Sharing information on wanted criminals, perpetrators of serious crimes & criminal activities happening around us is the pragmatic way to go in fighting crime.",en,Tweet,0,86,6,41,31303,2024-10-25 21:38:13,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#FichuakwaDCI,,photo,"https://pbs.twimg.com/media/GawoR28WQAEvbVI.jpg,https://pbs.twimg.com/media/GawoR7nW8AEgMCD.jpg,https://pbs.twimg.com/media/GawoR6xXcAAtAAv.jpg,https://pbs.twimg.com/media/GawoSFwWUAAyiYq.jpg"
'1849832815837266162',"8TH MEETING OF THE EAST AFRICAN COMMUNITY CHIEFS OF POLICE

The 8th Meeting of the East African Community Chiefs of Police entered its third day today with the commencement of the second session which assembled top police bosses in the region. 

Mr. Mohamed Amin, Director (DCI), representing the Inspector General of the National Police Service, Mr. Douglas Kanja, commended the enduring partnership among the member countries' security sectors. He highlighted the necessity of reinforcing existing collaborative avenues to achieve mutual success in safeguarding the region.

The meeting is set to conclude tomorrow, October 26th.",en,Tweet,1,70,12,22,48096,2024-10-25 17:18:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/Gavs9WmXcAAWgqf.jpg,https://pbs.twimg.com/media/Gavs_P9XgAAyT-I.jpg,https://pbs.twimg.com/media/GavtDpjXcAE5x-J.jpg,https://pbs.twimg.com/media/GavtHIHWUAAUeBT.jpg"
'1849721376048808336',"RECOVERY OF FIREARM, ARREST OF SUSPECT

A team of detectives drawn from Buuri East in collaboration with officers from Kathare Police Station, have successfully apprehended Fredrick John Mwenda, a suspect in a string of robberies that have rocked the area. Ignited by a tip-off from vigilant community members, the operation led the officers to Mwenda’s hideout in Maili Tano village, Ruiri Rwarera location, Buuri East Sub-County.

Upon a thorough search of the premises, the officers discovered a sterling assault rifle, serial number 001422, with its buttstock missing and barrel shortened. Additionally, they recovered 18 rounds of 5.56 mm ammunition and a magazine wrapped in a nylon bag cleverly concealed in a basin full of clothes.

Mwenda was promptly taken into custody and is currently undergoing processing pending arraignment.

#FichuaKwaDCI Call 0800 722 203 to report anonymously. Usiogope!",en,Tweet,17,217,27,89,60038,2024-10-25 09:55:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GauHqSBXcAAifsO.jpg,https://pbs.twimg.com/media/GauHsfMWoAArJA4.jpg,https://pbs.twimg.com/media/GauHuf7WwAA10Va.jpg,https://pbs.twimg.com/media/GauHwPZWgAA58Ay.jpg"
